,Classification,Name,Prefix,First,Middle,Last,Suffix,Address 1,Address 2,Address 3,Address 4,City,State / Province,Country,Zip Code,DUNS,Exclusion Program,Excluding Agency,CT Code,Exclusion Type,Additional Comments,Active Date,Termination Date,Record Status,Cross-Reference,SAM Number,CAGE,NPI
124,Individual,,,A.,DIX,STEPHENS,,,,,,DUNNELLON,FL,USA,34431,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation-  ineligible for awards to be performed at this Facility Only: Jacksonville Shipyard, Inc., 750 East Bay St., Jacksonville, FL 32202 (Violating Facility)",03/31/1993,Indefinite,,"(also JACKSONVILLE SHIPYARD, INC.)",S4MR3Q6SW,,
161,Individual,,,AARON,JOHN,BURKERT,,,,,,GUTHRIE,OK,USA,73044,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: Integrated Processing Resources, Inc.-Environmental Monitoring Services  905 Gemini Street  Houston, TX 77058(Violating Facility) ",04/30/2010,Indefinite,,,S4MR3RCBK,,
193,Individual,,,AARON,,IRONHEART,,,,,,SAINT MICHAELS,ND,USA,58370,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,04/25/2013,04/24/2017,,(also SILAS IRONHEART),S4MR48P39,,
227,Individual,,,AARON,,RIVERA,,,,,,HONOLULU,HI,USA,96816,,Reciprocal,EPA,,Prohibition/Restriction,"Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: Aaron Rivera a/k/a Aaron Sharp d/b/a Oahu-Handyman.com, 1120 3rd Avenue, Oahu, HI 96816 (Violating Facility). The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",03/28/2013,Indefinite,,"(also AARON SHARP, AARON RIVERA)",S4MR4DD3H,,
228,Individual,,,AARON,,RIVERA,,,,,,HONOLULU,HI,USA,96816,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,07/08/2014,07/07/2017,,"(also AARON RIVERA, AARON SHARP, OAHU-HANDYMAN.COM)",S4MR4WNFL,,
238,Individual,,,AARON,,SHARP,,,,,,HONOLULU,HI,USA,96816,,Reciprocal,EPA,,Prohibition/Restriction,,03/28/2013,Indefinite,,"(also AARON RIVERA, AARON RIVERA)",S4MR4DD3M,,
983,Individual,,,ABNER,,SCHULTZ,,,,,,NORTH FORK,ID,USA,83466,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: Wagonhammer Campground, 1826 Highway 93 North, North Fork, Idaho 83466 (Violating Facility)",09/08/2008,Indefinite,,,S4MR3PZ9C,,
1535,Individual,,,ADEMOLA,L.,EJIRE,,,,,,RALEIGH,NC,USA,27607,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,11/04/2013,11/03/2018,,"(also ADEMOLA NUL, ADEMOLA EUIRE, ADEMOLA EJIRE, ADEMOLA EJIRE, ADEMOLA EJIRE)",S4MR4BXRZ,,
1536,Individual,,,ADEMOLA,,EJIRE,,,,,,RALEIGH,NC,USA,27607,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,11/04/2013,11/03/2018,,"(also ADEMOLA NUL, ADEMOLA EUIRE, ADEMOLA EJIRE, ADEMOLA EJIRE, ADEMOLA EJIRE)",S4MR4BXS2,,
1537,Individual,,,ADEMOLA,,EJIRE,,,,,,RALEIGH,NC,USA,27607,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,11/04/2013,11/03/2018,,"(also ADEMOLA NUL, ADEMOLA EUIRE, ADEMOLA EJIRE, ADEMOLA EJIRE, ADEMOLA EJIRE)",S4MR4BXS4,,
