,Classification,Name,Prefix,First,Middle,Last,Suffix,Address 1,Address 2,Address 3,Address 4,City,State / Province,Country,Zip Code,DUNS,Exclusion Program,Excluding Agency,CT Code,Exclusion Type,Additional Comments,Active Date,Termination Date,Record Status,Cross-Reference,SAM Number,CAGE,NPI
206,Individual,,,AARON,,MARTINEZ,,,,,,SALTERS,SC,USA,295900340,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/05/2013,02/02/2057,,,S4MR4BB0X,,
614,Individual,,,ABDUL,,BARI,,,,,,POLLOCK,LA,USA,714674050,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/03/2013,09/02/2112,,,S4MR4B9BK,,
759,Individual,,,ABDUL-BARI,AL AMRIKI,AL ASWAD,,,,,,POLLOCK,LA,USA,714674050,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/03/2013,09/02/2112,,,S4MR4B9BB,,
971,Individual,,,ABIGAIL,SABRINA,TREVINO,,,,,,ALICEVILLE,AL,USA,35442,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,08/28/2014,11/10/2023,,,S4MR4GLFV,,
1033,Individual,,,ABRAHAM,YACOV,FLAM,,,,,,LAKEWOOD,NJ,USA,08701,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,02/09/2015,02/08/2018,,,S4MR4JNTG,,
1066,Individual,,,ABRORKHODJA,,ASKARKHODJAEV,,,,,,ADELANTO,CA,USA,923015300,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,04/27/2012,11/07/2029,,"(also ABB MAINTENANCE, LLC, KC JANITORIAL SERVICES, LLC, MIDWEST MANAGEMENT, INC., MMC PROFESSIONAL CLEANING, INC., UNITED MANAGEMENT, LLC)",S4MR3R82C,,
1081,Individual,,,ABU,ABUDHA,AL FARANSI,,,,,,POLLOCK,LA,USA,714674050,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/03/2013,09/02/2112,,,S4MR4B9BW,,
1125,Individual,,,ABU,,NAJYA,,,,,,POLLOCK,LA,USA,714674050,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/03/2013,09/02/2112,,,S4MR4B9B4,,
1335,Individual,,,ADALBERTO,,NUNEZ-VENEGAS,,,,,,SEAGOVILLE,TX,USA,75159,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,10/16/2014,11/30/2019,,,S4MR4H6YP,,
1405,Individual,,,ADAM,JOSEPH,WAKELEY,,,,,,AVONDALE,AZ,USA,85323,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,12/10/2015,12/09/2018,,,S4MR4XTN9,,
